# Kartenliste für „Neandertaler“
#
# Eine Karte pro Zeile: 1-Punkt-Wort | 3-Punkt-Begriff
# "## Kategorie" beginnt eine neue Kategorie.
# Zeilen mit # sind Kommentare.
#
# Nach dem Bearbeiten:  python3 tools/build-cards.py
# Das Skript prüft auf Dubletten und schreibt data/cards.de.json.
# Die IDs werden aus dem Text gebildet: eine Karte behält ihre ID, solange
# ihr Wortlaut gleich bleibt – so merkt sich die App, was schon gespielt wurde.

## Essen & Trinken
Fisch | Fischstäbchen
Brot | Butterbrot
Apfel | Apfelstrudel
Käse | Käsefondue
Kuchen | Geburtstagskuchen
Suppe | Kartoffelsuppe
Nudel | Nudelsalat
Ei | Spiegelei
Wurst | Currywurst
Milch | Milchshake
Tee | Pfefferminztee
Kaffee | Kaffeeklatsch
Bier | Biergarten
Wein | Weinprobe
Salz | Salzstange
Zucker | Zuckerwatte
Honig | Honigkuchenpferd
Pizza | Pizzabote
Reis | Milchreis
Eis | Eisbecher
Keks | Glückskeks
Senf | Senfgurke
Zwiebel | Zwiebelringe
Bohne | Kaffeebohne
Kartoffel | Kartoffelpuffer
Tomate | Tomatenmark
Gurke | Gewürzgurke
Karotte | Karottenkuchen
Banane | Bananensplit
Zitrone | Zitronenlimonade
Erdbeere | Erdbeermarmelade
Kirsche | Kirschkern
Birne | Birnenkompott
Nuss | Nussknacker
Schokolade | Schokoladenfondue
Pfannkuchen | Pfannkuchenturm
Brezel | Laugenbrezel
Salat | Obstsalat
Burger | Veggie-Burger
Pommes | Pommesbude
Döner | Dönerspieß
Sushi | Sushi-Restaurant
Knödel | Semmelknödel
Schnitzel | Wiener Schnitzel
Soße | Tomatensoße
Popcorn | Popcornmaschine
Chips | Kartoffelchips
Saft | Orangensaft
Wasser | Mineralwasser
Sekt | Sektfrühstück
Toast | Toastbrot
Müsli | Müsliriegel
Joghurt | Fruchtjoghurt
Quark | Kräuterquark
Pilz | Fliegenpilz
Kürbis | Kürbissuppe
Spargel | Spargelzeit
Grill | Grillparty
Braten | Sonntagsbraten
Torte | Hochzeitstorte
Plätzchen | Weihnachtsplätzchen
Lolli | Dauerlutscher
Kaugummi | Kaugummiblase
Marmelade | Marmeladenglas
Essig | Essiggurke
Pfeffer | Pfefferkuchen
Knoblauch | Knoblauchbrot
Lachs | Räucherlachs
Hähnchen | Brathähnchen
Speck | Speckwürfel

## Tiere
Hund | Hundehütte
Katze | Katzenklo
Maus | Mausefalle
Pferd | Schaukelpferd
Kuh | Kuhglocke
Schwein | Sparschwein
Schaf | Schafherde
Ziege | Ziegenkäse
Huhn | Hühnerstall
Ente | Quietscheente
Gans | Gänsehaut
Bär | Teddybär
Wolf | Werwolf
Fuchs | Fuchsbau
Hase | Osterhase
Igel | Igelfrisur
Biene | Bienenstock
Ameise | Ameisenhaufen
Spinne | Spinnennetz
Schnecke | Schneckenhaus
Frosch | Froschkönig
Vogel | Vogelnest
Adler | Adlerauge
Eule | Nachteule
Hai | Haifischflosse
Wal | Walfang
Delfin | Delfinshow
Krake | Tintenfisch
Krebs | Einsiedlerkrebs
Löwe | Löwenzahn
Tiger | Tigerente
Elefant | Elefantenrüssel
Affe | Affenzirkus
Giraffe | Giraffenhals
Zebra | Zebrastreifen
Kamel | Kamelhöcker
Pinguin | Kaiserpinguin
Eisbär | Eisbärbaby
Schlange | Klapperschlange
Krokodil | Krokodilstränen
Schildkröte | Schildkrötenpanzer
Fledermaus | Fledermausflügel
Käfer | Marienkäfer
Floh | Flohmarkt
Mücke | Mückenstich
Hummel | Hummelflug
Wurm | Bücherwurm
Raupe | Raupe Nimmersatt
Schmetterling | Schmetterlinge im Bauch
Storch | Klapperstorch
Papagei | Papageienkrankheit
Kuckuck | Kuckucksuhr
Taube | Brieftaube
Hamster | Hamsterkauf
Dino | Dinosaurierknochen
Mammut | Mammutaufgabe
Esel | Eselsbrücke
Ochse | Ochsenschwanzsuppe
Hirsch | Hirschgeweih
Reh | Rehkitz
Wildschwein | Wildschweinbraten
Robbe | Seehund
Qualle | Feuerqualle
Muschel | Miesmuschel
Kröte | Die Kröte schlucken

## Natur & Wetter
Baum | Baumhaus
Blume | Blumenstrauß
Gras | Grashüpfer
Blatt | Kleeblatt
